"ENSEMBL","SYMBOL","GENENAME","ENTREZID","CHR"
"ENSMUSG00000021607","Mrpl36","mitochondrial ribosomal protein L36","94066","13"
"ENSMUSG00000025208","Mrpl43","mitochondrial ribosomal protein L43","94067","19"
"ENSMUSG00000030364","Clec2h","C-type lectin domain family 2, member h","94071","6"
"ENSMUSG00000072244","Trim6","tripartite motif-containing 6","94088","7"
"ENSMUSG00000040350","Trim7","tripartite motif-containing 7","94089","11"
"ENSMUSG00000021071","Trim9","tripartite motif-containing 9","94090","12"
"ENSMUSG00000020455","Trim11","tripartite motif-containing 11","94091","11"
"ENSMUSG00000047821","Trim16","tripartite motif-containing 16","94092","11"
"ENSMUSG00000033014","Trim33","tripartite motif-containing 33","94093","3"
"ENSMUSG00000056144","Trim34a","tripartite motif-containing 34A","94094","7"
"ENSMUSG00000060924","Csmd1","CUB and Sushi multiple domains 1","94109","8"
"ENSMUSG00000053863","Mepe","matrix extracellular phosphoglycoprotein with ASARM motif (bone)","94111","5"
"ENSMUSG00000012114","Med15","mediator complex subunit 15","94112","16"
"ENSMUSG00000043800","Kifc5c-ps","kinesin family member C5C, pseudogene","94118","10"
"ENSMUSG00000022877","Hrg","histidine-rich glycoprotein","94175","16"
"ENSMUSG00000020143","Dock2","dedicator of cyto-kinesis 2","94176","11"
"ENSMUSG00000004567","Mcoln1","mucolipin 1","94178","8"
"ENSMUSG00000006777","Krt23","keratin 23","94179","11"
"ENSMUSG00000032281","Acsbg1","acyl-CoA synthetase bubblegum family member 1","94180","9"
"ENSMUSG00000028334","Nans","N-acetylneuraminic acid synthase (sialic acid synthase)","94181","4"
"ENSMUSG00000022680","Pdxdc1","pyridoxal-dependent decarboxylase domain containing 1","94184","16"
"ENSMUSG00000023915","Tnfrsf21","tumor necrosis factor receptor superfamily, member 21","94185","17"
"ENSMUSG00000020954","Strn3","striatin, calmodulin binding protein 3","94186","12"
"ENSMUSG00000045333","Zfp423","zinc finger protein 423","94187","8"
"ENSMUSG00000031214","Ophn1","oligophrenin 1","94190","X"
"ENSMUSG00000052551","Adarb2","adenosine deaminase, RNA-specific, B2","94191","13"
"ENSMUSG00000042460","C1galt1","core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1","94192","6"
"ENSMUSG00000027508","Pag1","phosphoprotein associated with glycosphingolipid microdomains 1","94212","3"
"ENSMUSG00000020076","Ddx50","DExD box helicase 50","94213","10"
"ENSMUSG00000058297","Spock2","sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2","94214","10"
"ENSMUSG00000106677","Ugt2a1","UDP glucuronosyltransferase 2 family, polypeptide A1","94215","5"
"ENSMUSG00000031273","Col4a6","collagen, type IV, alpha 6","94216","X"
"ENSMUSG00000049252","Lrp1b","low density lipoprotein-related protein 1B","94217","2"
"ENSMUSG00000001138","Cnnm3","cyclin M3","94218","1"
"ENSMUSG00000064105","Cnnm2","cyclin M2","94219","19"
"ENSMUSG00000037408","Cnnm4","cyclin M4","94220","1"
"ENSMUSG00000019861","Gopc","golgi associated PDZ and coiled-coil motif containing","94221","10"
"ENSMUSG00000045591","Olig3","oligodendrocyte transcription factor 3","94222","10"
"ENSMUSG00000022718","Dgcr8","DGCR8, microprocessor complex subunit","94223","16"
"ENSMUSG00000038541","Srd5a2","steroid 5 alpha-reductase 2","94224","17"
"ENSMUSG00000045087","S1pr5","sphingosine-1-phosphate receptor 5","94226","9"
"ENSMUSG00000067780","Pi15","peptidase inhibitor 15","94227","1"
"ENSMUSG00000026904","Slc4a10","solute carrier family 4, sodium bicarbonate cotransporter-like, member 10","94229","2"
"ENSMUSG00000034022","Cpsf1","cleavage and polyadenylation specific factor 1","94230","15"
"ENSMUSG00000008604","Ubqln4","ubiquilin 4","94232","3"
"ENSMUSG00000028776","Tinagl1","tubulointerstitial nephritis antigen-like 1","94242","4"
"ENSMUSG00000040013","Fkbp6","FK506 binding protein 6","94244","5"
"ENSMUSG00000057531","Dtnbp1","dystrobrevin binding protein 1","94245","13"
"ENSMUSG00000039219","Arid4b","AT-rich interaction domain 4B","94246","13"
"ENSMUSG00000063873","Slc24a3","solute carrier family 24 (sodium/potassium/calcium exchanger), member 3","94249","2"
"ENSMUSG00000021301","Hecw1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","94253","13"
"ENSMUSG00000061979","Rcc1l","reculator of chromosome condensation 1 like","94254","5"
"ENSMUSG00000025151","Maged1","MAGE family member D1","94275","X"
"ENSMUSG00000025036","Sfxn2","sideroflexin 2","94279","19"
"ENSMUSG00000025212","Sfxn3","sideroflexin 3","94280","19"
"ENSMUSG00000063698","Sfxn4","sideroflexin 4","94281","19"
"ENSMUSG00000033720","Sfxn5","sideroflexin 5","94282","6"
"ENSMUSG00000054545","Ugt1a6a","UDP glucuronosyltransferase 1 family, polypeptide A6A","94284","1"
"ENSMUSG00000004895","Prcc","papillary renal cell carcinoma (translocation-associated)","94315","3"
"ENSMUSG00000005338","Cadm3","cell adhesion molecule 3","94332","1"
"ENSMUSG00000059900","Tmem40","transmembrane protein 40","94346","6"
"ENSMUSG00000034205","Loxl2","lysyl oxidase-like 2","94352","14"
"ENSMUSG00000066456","Hmgn3","high mobility group nucleosomal binding domain 3","94353","9"
"ENSMUSG00000006014","Prg4","proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)","96875","1"
"ENSMUSG00000038576","Susd4","sushi domain containing 4","96935","1"
"ENSMUSG00000054484","Tmem62","transmembrane protein 62","96957","2"
"ENSMUSG00000026820","Ptges2","prostaglandin E synthase 2","96979","2"
"ENSMUSG00000048707","Tprn","taperin","97031","2"
"ENSMUSG00000027803","Wwtr1","WW domain containing transcription regulator 1","97064","3"
"ENSMUSG00000037994","Slc9b2","solute carrier family 9, subfamily B (NHA2, cation proton antiporter 2), member 2","97086","3"
"ENSMUSG00000027787","Nmd3","NMD3 ribosome export adaptor","97112","3"
"ENSMUSG00000081058","H3c15","H3 clustered histone 15","97114","3"
"ENSMUSG00000091405","H4c14","H4 clustered histone 14","97122","3"
"ENSMUSG00000050390","Nhsl3","NHS like 3","97130","4"
"ENSMUSG00000047613","A430005L14Rik","RIKEN cDNA A430005L14 gene","97159","4"
"ENSMUSG00000054717","Hmgb2","high mobility group box 2","97165","8"
"ENSMUSG00000046262","Pramel29","PRAME like 29","97187","4"
"ENSMUSG00000025745","Hadha","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha","97212","5"
"ENSMUSG00000106968","C78283","expressed sequence C78283","97232","5"
"ENSMUSG00000046000","Naa11","N(alpha)-acetyltransferase 11, NatA catalytic subunit","97243","5"
"ENSMUSG00000030269","Mtmr14","myotubularin related protein 14","97287","6"
"ENSMUSG00000030374","Strn4","striatin, calmodulin binding protein 4","97387","7"
"ENSMUSG00000110001","Misfadt","mitochondrial sheath formation associated divergent transcript","97402","7"
"ENSMUSG00000119286","Rnu5g","RNA, U5G small nuclear","97418","9"
"ENSMUSG00000059277","R74862","expressed sequence R74862","97423","7"
"ENSMUSG00000069920","B3gnt9","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9","97440","8"
"ENSMUSG00000079112","Fam90a1a","family with sequence similarity 90, member A1A","97476","8"
"ENSMUSG00000031916","Cog8","component of oligomeric golgi complex 8","97484","8"
"ENSMUSG00000096188","Cmtm4","CKLF-like MARVEL transmembrane domain containing 4","97487","8"
"ENSMUSG00000032604","Qars1","glutaminyl-tRNA synthetase 1","97541","9"
"ENSMUSG00000038351","Sgsm2","small G protein signaling modulator 2","97761","11"
"ENSMUSG00000052563","D930048N14Rik","RIKEN cDNA D930048N14 gene","97775","11"
"ENSMUSG00000025871","4833439L19Rik","RIKEN cDNA 4833439L19 gene","97820","13"
"ENSMUSG00000032705","Exd2","exonuclease 3'-5' domain containing 2","97827","12"
"ENSMUSG00000092515","C87198","expressed sequence C87198","97836","12"
"ENSMUSG00000052180","Serpinb6c","serine (or cysteine) peptidase inhibitor, clade B, member 6c","97848","13"
"ENSMUSG00000069237","Fam8a1","family with sequence similarity 8, member A1","97863","13"
"ENSMUSG00000039242","B3galnt2","UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 2","97884","13"
"ENSMUSG00000032999","Nlrp4f","NLR family, pyrin domain containing 4F","97895","13"
"ENSMUSG00000099517","H3c8","H3 clustered histone 8","97908","13"
"ENSMUSG00000033099","Nol12","nucleolar protein 12","97961","15"
"ENSMUSG00000022419","Deptor","DEP domain containing MTOR-interacting protein","97998","15"
"ENSMUSG00000002658","Gtf2f1","general transcription factor IIF, polypeptide 1","98053","17"
"ENSMUSG00000117026","C87487","expressed sequence C87487","98087","17"
"ENSMUSG00000024736","Tmem132a","transmembrane protein 132A","98170","19"
"ENSMUSG00000026554","Dcaf8","DDB1 and CUL4 associated factor 8","98193","1"
"ENSMUSG00000027170","Eif3m","eukaryotic translation initiation factor 3, subunit M","98221","2"
"ENSMUSG00000020869","Lrrc59","leucine rich repeat containing 59","98238","11"
"ENSMUSG00000039783","Kmo","kynurenine 3-monooxygenase","98256","1"
"ENSMUSG00000058407","Txndc9","thioredoxin domain containing 9","98258","1"
"ENSMUSG00000026094","Stk17b","serine/threonine kinase 17b (apoptosis-inducing)","98267","1"
"ENSMUSG00000044816","D630023F18Rik","RIKEN cDNA D630023F18 gene","98303","1"
"ENSMUSG00000073609","D2hgdh","D-2-hydroxyglutarate dehydrogenase","98314","1"
"ENSMUSG00000026255","Efhd1","EF hand domain containing 1","98363","1"
"ENSMUSG00000026548","Slamf9","SLAM family member 9","98365","1"
"ENSMUSG00000026155","Smap1","small ArfGAP 1","98366","1"
"ENSMUSG00000040124","Gorab","golgin, RAB6-interacting","98376","1"
"ENSMUSG00000004880","Lbr","lamin B receptor","98386","1"
"ENSMUSG00000026080","Chst10","carbohydrate sulfotransferase 10","98388","1"
"ENSMUSG00000013275","Slc41a1","solute carrier family 41, member 1","98396","1"
"ENSMUSG00000036206","Sh3bp4","SH3-domain binding protein 4","98402","1"
"ENSMUSG00000042197","Zfp451","zinc finger protein 451","98403","1"
"ENSMUSG00000010290","AI597479","expressed sequence AI597479","98404","1"
"ENSMUSG00000026434","Nucks1","nuclear casein kinase and cyclin-dependent kinase substrate 1","98415","1"
"ENSMUSG00000062169","Cnih4","cornichon family AMPA receptor auxiliary protein 4","98417","1"
"ENSMUSG00000044340","Phlpp1","PH domain and leucine rich repeat protein phosphatase 1","98432","1"
"ENSMUSG00000097881","Celrr","cerebellum expressed regulatory RNA","98452","1"
"ENSMUSG00000041303","Gtf3c3","general transcription factor IIIC, polypeptide 3","98488","1"
"ENSMUSG00000045658","Pid1","phosphotyrosine interaction domain containing 1","98496","1"
"ENSMUSG00000040629","Mael","maelstrom spermatogenic transposon silencer","98558","1"
"ENSMUSG00000085079","Khdc1b","KH domain containing 1B","98582","1"
"ENSMUSG00000007097","Atp1a2","ATPase, Na+/K+ transporting, alpha 2 polypeptide","98660","1"
"ENSMUSG00000041439","Mfsd6","major facilitator superfamily domain containing 6","98682","1"
"ENSMUSG00000053286","Trmt1l","tRNA methyltransferase 1 like","98685","1"
"ENSMUSG00000042229","Rabif","RAB interacting factor","98710","1"
"ENSMUSG00000025921","Rdh10","retinol dehydrogenase 10 (all-trans)","98711","1"
"ENSMUSG00000039318","Rab3gap2","RAB3 GTPase activating protein subunit 2","98732","1"
"ENSMUSG00000026211","Obsl1","obscurin-like 1","98733","1"
"ENSMUSG00000055833","1700034H15Rik","RIKEN cDNA 1700034H15 gene","98736","1"
"ENSMUSG00000092083","Kcnb2","potassium voltage gated channel, Shab-related subfamily, member 2","98741","1"
"ENSMUSG00000038421","Fcrla","Fc receptor-like A","98752","1"
"ENSMUSG00000042079","Hnrnpf","heterogeneous nuclear ribonucleoprotein F","98758","6"
"ENSMUSG00000036352","Ubac1","ubiquitin associated domain containing 1","98766","2"
"ENSMUSG00000039128","Cdc123","cell division cycle 123","98828","2"
"ENSMUSG00000025504","Eps8l2","EPS8-like 2","98845","7"
"ENSMUSG00000035875","AI182371","expressed sequence AI182371","98870","2"
"ENSMUSG00000027293","Ehd4","EH-domain containing 4","98878","2"
"ENSMUSG00000039046","Usp6nl","USP6 N-terminal like","98910","2"
"ENSMUSG00000067818","Myl9","myosin, light polypeptide 9, regulatory","98932","2"
"ENSMUSG00000039157","Eeig1","estrogen-induced osteoclastogenesis regulator 1","98952","2"
"ENSMUSG00000027185","Nat10","N-acetyltransferase 10","98956","2"
"ENSMUSG00000026841","Fibcd1","fibrinogen C domain containing 1","98970","2"
"ENSMUSG00000027079","Clp1","CLP1, cleavage and polyadenylation factor I subunit","98985","2"
"ENSMUSG00000039501","Znfx1","zinc finger, NFX1-type containing 1","98999","2"
"ENSMUSG00000074994","Qser1","glutamine and serine rich 1","99003","2"
"ENSMUSG00000027134","Lpcat4","lysophosphatidylcholine acyltransferase 4","99010","2"
"ENSMUSG00000039254","Pomt1","protein-O-mannosyltransferase 1","99011","2"
"ENSMUSG00000042359","Osbpl6","oxysterol binding protein-like 6","99031","2"
"ENSMUSG00000026645","Olah","oleoyl-ACP hydrolase","99035","2"
"ENSMUSG00000087521","Pax1dt","paired box 1 divergent transcript","99041","2"
"ENSMUSG00000037740","Mrps26","mitochondrial ribosomal protein S26","99045","2"
"ENSMUSG00000068394","Cep152","centrosomal protein 152","99100","2"
"ENSMUSG00000027367","Stard7","StAR related lipid transfer domain containing 7","99138","2"
"ENSMUSG00000039787","Cercam","cerebral endothelial cell adhesion molecule","99151","2"
"ENSMUSG00000026965","Anapc2","anaphase promoting complex subunit 2","99152","2"
"ENSMUSG00000036825","Ssx2ip","SSX family member 2 interacting protein","99167","3"
"ENSMUSG00000068040","Tm9sf4","transmembrane 9 superfamily member 4","99237","2"
"ENSMUSG00000039059","Hrh3","histamine receptor H3","99296","2"
"ENSMUSG00000056941","Commd7","COMM domain containing 7","99311","2"
"ENSMUSG00000038860","Garnl3","GTPase activating RANGAP domain-like 3","99326","2"
"ENSMUSG00000050619","Zscan29","zinc finger SCAN domains 29","99334","2"
"ENSMUSG00000027166","Dnajc24","DnaJ heat shock protein family (Hsp40) member C24","99349","2"
"ENSMUSG00000074582","Arfgef2","ADP ribosylation factor guanine nucleotide exchange factor 2","99371","2"
"ENSMUSG00000031446","Cul4a","cullin 4A","99375","8"
"ENSMUSG00000027547","Sall4","spalt like transcription factor 4","99377","2"
"ENSMUSG00000032724","Abtb2","ankyrin repeat and BTB domain containing 2","99382","2"
"ENSMUSG00000002546","Golga2","golgin A2","99412","2"
"ENSMUSG00000033268","Duox1","dual oxidase 1","99439","2"
"ENSMUSG00000052539","Magi3","membrane associated guanylate kinase, WW and PDZ domain containing 3","99470","3"
"ENSMUSG00000039756","Dnttip2","deoxynucleotidyltransferase, terminal, interacting protein 2","99480","3"
"ENSMUSG00000040389","Wdr47","WD repeat domain 47","99512","3"
"ENSMUSG00000039701","Usp53","ubiquitin specific peptidase 53","99526","3"
"ENSMUSG00000097745","AI115009","expressed sequence AI115009","99542","3"
"ENSMUSG00000027848","Olfml3","olfactomedin-like 3","99543","3"
"ENSMUSG00000033860","Fgg","fibrinogen gamma chain","99571","3"
"ENSMUSG00000033308","Dpyd","dihydropyrimidine dehydrogenase","99586","3"
"ENSMUSG00000028184","Adgrl2","adhesion G protein-coupled receptor L2","99633","3"
"ENSMUSG00000027942","4933434E20Rik","RIKEN cDNA 4933434E20 gene","99650","3"
"ENSMUSG00000040600","Eps8l3","EPS8-like 3","99662","3"
"ENSMUSG00000068547","Clca4a","chloride channel accessory 4A","99663","3"
"ENSMUSG00000052415","Tchh","trichohyalin","99681","3"
"ENSMUSG00000001052","Sec24b","SEC24 homolog B, COPII coat complex component","99683","3"
"ENSMUSG00000044864","Ankrd50","ankyrin repeat domain 50","99696","3"
"ENSMUSG00000074195","Clca4b","chloride channel accessory 4B","99709","3"
"ENSMUSG00000040774","Cept1","choline/ethanolaminephosphotransferase 1","99712","3"
"ENSMUSG00000048100","Taf13","TATA-box binding protein associated factor 13","99730","3"
"ENSMUSG00000027895","Kcnc4","potassium voltage gated channel, Shaw-related subfamily, member 4","99738","3"
"ENSMUSG00000028132","Tlcd4","TLC domain containing 4","99887","3"
"ENSMUSG00000074513","Arfip1","ADP-ribosylation factor interacting protein 1","99889","3"
"ENSMUSG00000102805","Arfip1","ADP-ribosylation factor interacting protein 1","99889","3"
"ENSMUSG00000049300","Prmt6","protein arginine N-methyltransferase 6","99890","3"
"ENSMUSG00000028037","Ifi44","interferon-induced protein 44","99899","3"
"ENSMUSG00000034640","Tiparp","TCDD-inducible poly(ADP-ribose) polymerase","99929","3"
"ENSMUSG00000036940","Kdm1a","lysine (K)-specific demethylase 1A","99982","4"
"ENSMUSG00000050810","Oog3","oogenesin 3","100012","4"
"ENSMUSG00000037295","Ldlrap1","low density lipoprotein receptor adaptor protein 1","100017","4"
"ENSMUSG00000058006","Mdn1","midasin AAA ATPase 1","100019","4"
"ENSMUSG00000049799","Lrrc19","leucine rich repeat containing 19","100061","4"
"ENSMUSG00000066097","Cyp2j11","cytochrome P450, family 2, subfamily j, polypeptide 11","100066","4"
"ENSMUSG00000014592","Camta1","calmodulin binding transcription activator 1","100072","4"
"ENSMUSG00000073775","Kti12","KTI12 homolog, chromatin associated","100087","4"
"ENSMUSG00000028896","Rcc1","regulator of chromosome condensation 1","100088","4"
"ENSMUSG00000028952","Zbtb48","zinc finger and BTB domain containing 48","100090","4"
"ENSMUSG00000044254","Pcsk9","proprotein convertase subtilisin/kexin type 9","100102","4"
"ENSMUSG00000035517","Tdrd7","tudor domain containing 7","100121","4"
"ENSMUSG00000042804","Gpr153","G protein-coupled receptor 153","100129","4"
"ENSMUSG00000038598","Shoc1","shortage in chiasmata 1","100155","4"
"ENSMUSG00000037366","Pafah2","platelet-activating factor acetylhydrolase 2","100163","4"
"ENSMUSG00000073731","AI507597","expressed sequence AI507597","100165","4"
"ENSMUSG00000066043","Phactr4","phosphatase and actin regulator 4","100169","4"
"ENSMUSG00000042408","Zmym6","zinc finger, MYM-type 6","100177","4"
"ENSMUSG00000039158","Akna","AT-hook transcription factor","100182","4"
"ENSMUSG00000028980","H6pd","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)","100198","4"
"ENSMUSG00000043252","Tmem64","transmembrane protein 64","100201","4"
"ENSMUSG00000042558","Adprs","ADP-ribosylserine hydrolase","100206","4"
"ENSMUSG00000028848","Gpn2","GPN-loop GTPase 2","100210","4"
"ENSMUSG00000035969","Rusc2","RUN and SH3 domain containing 2","100213","4"
"ENSMUSG00000028879","Stx12","syntaxin 12","100226","4"
"ENSMUSG00000028559","Osbpl9","oxysterol binding protein-like 9","100273","4"
"ENSMUSG00000028830","AU040320","expressed sequence AU040320","100317","4"
"ENSMUSG00000028882","Ppp1r8","protein phosphatase 1, regulatory subunit 8","100336","4"
"ENSMUSG00000028885","Smpdl3b","sphingomyelin phosphodiesterase, acid-like 3B","100340","4"
"ENSMUSG00000046694","Tent5b","terminal nucleotidyltransferase 5B","100342","4"
"ENSMUSG00000078349","AW011738","expressed sequence AW011738","100382","4"
"ENSMUSG00000040859","Bsdc1","BSD domain containing 1","100383","4"
"ENSMUSG00000028412","Slc44a1","solute carrier family 44, member 1","100434","4"
"ENSMUSG00000028709","Mob3c","MOB kinase activator 3C","100465","4"
"ENSMUSG00000024903","Lao1","L-amino acid oxidase 1","100470","4"
"ENSMUSG00000085041","BB031773","expressed sequence BB031773","100473","4"
"ENSMUSG00000053581","Zfand2a","zinc finger, AN1-type domain 2A","100494","5"
"ENSMUSG00000046572","Zfp518b","zinc finger protein 518B","100515","5"
"ENSMUSG00000047881","Rell1","RELT-like 1","100532","5"
"ENSMUSG00000032623","Oas1d","2'-5' oligoadenylate synthetase 1D","100535","5"
"ENSMUSG00000121889","Pramel52-ps","PRAME like 52, pseudogene","100554","5"
"ENSMUSG00000061906","Ugt2b38","UDP glucuronosyltransferase 2 family, polypeptide B38","100559","5"
"ENSMUSG00000029416","Slc15a4","solute carrier family 15, member 4","100561","5"
"ENSMUSG00000054720","Lrrc8c","leucine rich repeat containing 8 family, member C","100604","5"
"ENSMUSG00000033294","Noc4l","NOC4 like","100608","5"
"ENSMUSG00000000916","Nsun5","NOL1/NOP2/Sun domain family, member 5","100609","5"
"ENSMUSG00000041132","N4bp2l1","NEDD4 binding protein 2-like 1","100637","5"
"ENSMUSG00000042985","Upk3b","uroplakin 3B","100647","5"
"ENSMUSG00000090086","AI480526","expressed sequence AI480526","100675","5"
"ENSMUSG00000029446","Psph","phosphoserine phosphatase","100678","5"
"ENSMUSG00000045482","Trrap","transformation/transcription domain-associated protein","100683","5"
"ENSMUSG00000037379","Spon2","spondin 2, extracellular matrix protein","100689","5"
"ENSMUSG00000104713","Gbp6","guanylate binding protein 6","100702","5"
"ENSMUSG00000042010","Acacb","acetyl-Coenzyme A carboxylase beta","100705","5"
"ENSMUSG00000034021","Pds5b","PDS5 cohesin associated factor B","100710","5"
"ENSMUSG00000042167","Tent2","terminal nucleotidyltransferase 2","100715","13"
"ENSMUSG00000029260","Ugt2b34","UDP glucuronosyltransferase 2 family, polypeptide B34","100727","5"
"ENSMUSG00000029166","Mapre3","microtubule-associated protein, RP/EB family, member 3","100732","5"
"ENSMUSG00000051674","Dcun1d4","defective in cullin neddylation 1 domain containing 4","100737","5"
"ENSMUSG00000107355","AI839979","expressed sequence AI839979","100740","5"
"ENSMUSG00000029592","Usp30","ubiquitin specific peptidase 30","100756","5"
"ENSMUSG00000039000","Ube3c","ubiquitin protein ligase E3C","100763","5"
"ENSMUSG00000029600","Rita1","RBPJ interacting and tubulin associated 1","100764","5"
"ENSMUSG00000029192","Tbc1d14","TBC1 domain family, member 14","100855","5"
"ENSMUSG00000043510","Hscb","HscB iron-sulfur cluster co-chaperone","100900","5"
"ENSMUSG00000038181","Chpf2","chondroitin polymerizing factor 2","100910","5"
"ENSMUSG00000056310","Tyw1","tRNA-yW synthesizing protein 1 homolog (S. cerevisiae)","100929","5"
"ENSMUSG00000029163","Emilin1","elastin microfibril interfacer 1","100952","5"
"ENSMUSG00000029128","Rab28","RAB28, member RAS oncogene family","100972","5"
"ENSMUSG00000072889","Nfxl1","nuclear transcription factor, X-box binding-like 1","100978","5"
"ENSMUSG00000040407","Akap9","A kinase anchor protein 9","100986","5"
"ENSMUSG00000043059","Zfp513","zinc finger protein 513","101023","5"
"ENSMUSG00000025821","Zfp282","zinc finger protein 282","101095","6"
"ENSMUSG00000030276","Ttll3","tubulin tyrosine ligase-like family, member 3","101100","6"
"ENSMUSG00000050373","Snx21","sorting nexin family member 21","101113","2"
"ENSMUSG00000029569","Tmem168","transmembrane protein 168","101118","6"
"ENSMUSG00000051169","Rpusd3","RNA pseudouridylate synthase domain containing 3","101122","6"
"ENSMUSG00000001518","Itfg2","integrin alpha FG-GAP repeat containing 2","101142","6"
"ENSMUSG00000042742","Bmt2","base methyltransferase of 25S rRNA 2","101148","6"
"ENSMUSG00000029676","Pot1a","protection of telomeres 1A","101185","6"
"ENSMUSG00000037997","Parp11","poly (ADP-ribose) polymerase family, member 11","101187","6"
"ENSMUSG00000045466","Zfp956","zinc finger protein 956","101197","6"
"ENSMUSG00000044156","Hepacam2","HEPACAM family member 2","101202","6"
"ENSMUSG00000048930","Tada3","transcriptional adaptor 3","101206","6"
"ENSMUSG00000029817","Tra2a","transformer 2 alpha","101214","6"
"ENSMUSG00000058486","Wdr91","WD repeat domain 91","101240","6"
"ENSMUSG00000033940","Brk1","BRICK1, SCAR/WAVE actin-nucleating complex subunit","101314","6"
"ENSMUSG00000030345","Dyrk4","dual-specificity tyrosine phosphorylation regulated kinase 4","101320","6"
"ENSMUSG00000035245","Eogt","EGF domain specific O-linked N-acetylglucosamine transferase","101351","6"
"ENSMUSG00000030019","Fbxl14","F-box and leucine-rich repeat protein 14","101358","6"
"ENSMUSG00000079654","Prrt4","proline-rich transmembrane protein 4","101359","6"
"ENSMUSG00000030022","Adamts9","ADAM metallopeptidase with thrombospondin type 1 motif 9","101401","6"
"ENSMUSG00000078795","Ceacam15","CEA cell adhesion molecule 15","101434","7"
"ENSMUSG00000030986","Dhx32","DEAH-box helicase 32 (putative)","101437","7"
"ENSMUSG00000038611","Phrf1","PHD and ring finger domains 1","101471","7"
"ENSMUSG00000040268","Plekha1","pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1","101476","7"
"ENSMUSG00000030737","Slco2b1","solute carrier organic anion transporter family, member 2b1","101488","7"
"ENSMUSG00000025485","Ric8a","RIC8 guanine nucleotide exchange factor A","101489","7"
"ENSMUSG00000042105","Inpp5f","inositol polyphosphate-5-phosphatase F","101490","7"
"ENSMUSG00000037552","Plekhg2","pleckstrin homology domain containing, family G (with RhoGef domain) member 2","101497","7"
"ENSMUSG00000042289","Hsd3b7","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7","101502","7"
"ENSMUSG00000025147","Mob2","MOB kinase activator 2","101513","7"
"ENSMUSG00000109311","AI314278","expressed sequence AI314278","101521","7"
"ENSMUSG00000047884","Klk9","kallikrein related-peptidase 9","101533","7"
"ENSMUSG00000041187","Prkd2","protein kinase D2","101540","7"
"ENSMUSG00000036459","Wtip","WT1 interacting protein","101543","7"
"ENSMUSG00000066721","Zfp575","zinc finger protein 575","101544","7"
"ENSMUSG00000033904","Ccp110","centriolar coiled coil protein 110","101565","7"
"ENSMUSG00000002205","Vrk3","vaccinia related kinase 3","101568","7"
"ENSMUSG00000038563","Efl1","elongation factor like GTPase 1","101592","7"
"ENSMUSG00000045165","AI467606","expressed sequence AI467606","101602","7"
"ENSMUSG00000078580","Zfp764l1","zinc finger protein 764 like 1","101604","7"
"ENSMUSG00000053801","Grwd1","glutamate-rich WD repeat containing 1","101612","7"
"ENSMUSG00000038745","Nlrp6","NLR family, pyrin domain containing 6","101613","7"
"ENSMUSG00000060260","Pwwp2b","PWWP domain containing 2B","101631","7"
"ENSMUSG00000049516","Spty2d1","SPT2 chromatin protein domain containing 1","101685","7"
"ENSMUSG00000097023","Mir9-3hg","Mir9-3 host gene","101694","7"
"ENSMUSG00000073968","Trim68","tripartite motif-containing 68","101700","7"
"ENSMUSG00000066306","Numa1","nuclear mitotic apparatus protein 1","101706","7"
"ENSMUSG00000028484","Psip1","PC4 and SFRS1 interacting protein 1","101739","4"
"ENSMUSG00000037469","Acp7","acid phosphatase 7, tartrate resistant","101744","7"
"ENSMUSG00000031075","Ano1","anoctamin 1, calcium activated chloride channel","101772","7"
"ENSMUSG00000108379","A730082K24Rik","RIKEN cDNA A730082K24 gene","101786","7"
"ENSMUSG00000037239","Spred3","sprouty-related EVH1 domain containing 3","101809","7"
"ENSMUSG00000030493","Faap24","Fanconi anemia core complex associated protein 24","101831","7"
"ENSMUSG00000074166","AW146154","expressed sequence AW146154","101835","7"
"ENSMUSG00000025133","Ints4","integrator complex subunit 4","101861","7"
"ENSMUSG00000030888","Rrp8","ribosomal RNA processing 8","101867","7"
"ENSMUSG00000030533","Unc45a","unc-45 myosin chaperone A","101869","7"
"ENSMUSG00000036826","Igflr1","IGF-like family receptor 1","101883","7"
"ENSMUSG00000033732","Sf3b3","splicing factor 3b, subunit 3","101943","8"
"ENSMUSG00000019362","D8Ertd738e","DNA segment, Chr 8, ERATO Doi 738, expressed","101966","8"
"ENSMUSG00000031792","Usb1","U6 snRNA biogenesis 1","101985","8"
"ENSMUSG00000047710","Champ1","chromosome alignment maintaining phosphoprotein 1","101994","8"
"ENSMUSG00000055730","Ces2a","carboxylesterase 2A","102022","8"
"ENSMUSG00000031534","Smim19","small integral membrane protein 19","102032","8"
"ENSMUSG00000074030","Exoc8","exocyst complex component 8","102058","8"
